brand_name,car_name,car_source_city_name,official_price,sh_price,transfer_cnt,car_year,car_mileage
大众,1.8TSI DSG尊荣版,上海,21.88万,4.78万,0,2015年,13万公里
奔驰,C 200 轿跑车,青岛,34.68万,19.00万,0,2020年,5.83万公里
奇瑞,1.5T CVT舒适版,武汉,10.38万,3.98万,0,2018年,5.90万公里
凯迪拉克,28T 豪华型,西安,42.97万,19.98万,0,2021年,6万公里
宝马,sDrive18Li 时尚型,济宁,28.38万,9.68万,1,2019年,6.70万公里
奔驰,改款 GLC 260 L 4MATIC 豪华型,潍坊,42.92万,30.58万,0,2022年,2.60万公里
奔驰,R 320 4MATIC 商务型臻藏版,沈阳,54.88万,14.20万,0,2017年,13.50万公里
奥迪,40 TFSI 豪华动感型,济宁,34.28万,18.80万,1,2023年,0.70万公里
大众,280TSI DSG两驱舒适型,天津,17.08万,8.68万,0,2020年,4.09万公里
本田,240TURBO CVT两驱风尚版,南宁,20.38万,11.18万,1,2018年,5.04万公里
丰田,双擎 1.8H E-CVT运动版,厦门,14.88万,8.78万,0,2021年,2.85万公里
宝马,320i 时尚型,上海,33.30万,8.69万,2,2015年,6.76万公里
奥迪,40 TFSI 豪华动感型,呼和浩特,34.38万,18.88万,0,2020年,3.20万公里
宝马,320Li 时尚型,杭州,32.38万,13.78万,0,2018年,7.49万公里
宝马,320i 时尚型,上海,39.80万,11.99万,0,2017年,7.68万公里
宝骏,1.5T CVT尊贵互联型 6座,金华,9.38万,3.98万,1,2019年,5万公里
比亚迪,DM 四驱性能版尊贵型,杭州,24.28万,12.34万,0,2021年,3.85万公里
大众,1.5L 自动风尚版,合肥,9.79万,4.98万,0,2019年,4.71万公里
大众,改款 330TSI DSG 豪华型,郑州,23.49万,8.98万,0,2018年,6.60万公里
比亚迪,1.5T 自动智联睿动型 越享版 6座 国VI,大连,11.99万,7.08万,1,2022年,3.73万公里
大众,1.5L 手动时尚型,沧州,10.78万,4.58万,0,2018年,6.01万公里
别克,532T 两驱精英型,潍坊,19.99万,10.98万,0,2021年,4.61万公里
保时捷,Cayenne GTS 3.6T,上海,158.60万,54.80万,0,2016年,4.20万公里
奔驰,GLC 300 4MATIC 动感型,苏州,49.20万,18.98万,0,2018年,7.58万公里
大众,1.5L 自动舒适版 国VI,郑州,13.99万,5.99万,1,2019年,4.80万公里
日产,2.0L CVT豪华版,济南,16.88万,7.90万,0,2019年,4.30万公里
大众,改款 330TSI DSG 豪华型,邢台,23.49万,9.08万,0,2018年,9.10万公里
本田,1.8L 自动舒适版,佛山,14.98万,2.68万,1,2010年,16万公里
奔驰,B 200 动感型,西安,26.20万,6.88万,1,2017年,8.89万公里
奥迪,35 TFSI 进取动感型,昆明,27.88万,15.38万,0,2022年,1.90万公里
MINI,1.6T COOPER S 50 Camden,北京,37.90万,6.80万,1,2010年,11万公里
奔驰,C 260 L 运动版,上海,35.08万,14.98万,0,2019年,7.60万公里
奥迪,Limousine 35 TFSI 时尚型 国VI,北京,21.97万,11.18万,0,2020年,1.70万公里
奔驰,GLE 320 4MATIC 动感型臻藏版,南京,74.98万,28.98万,1,2018年,6万公里
现代,1.6L 自动悦目版GL 国VI,东莞,8.49万,3.99万,0,2020年,3万公里
马自达,云控版 三厢 1.5L 自动豪华型 国VI,南宁,13.99万,5.98万,0,2019年,5.80万公里
奥迪,allroad quattro 探索家,杭州,41.88万,24.80万,0,2021年,2.80万公里
大众,极智版,南京,19.19万,9.78万,0,2022年,1.37万公里
丰田,2.0L CVT四驱新锐版,烟台,22.98万,6.98万,0,2015年,8.20万公里
奔驰,E 260 4MATIC 轿跑车,东莞,54.78万,27.98万,1,2020年,3.90万公里
本田,1.8L 自动舒适版,长沙,12.48万,3.78万,1,2015年,8万公里
保时捷,Panamera 2.9T,青岛,97.30万,73.80万,0,2020年,7.70万公里
现代,1.6T 自动旗舰型TOP,台州,16.98万,5.88万,0,2016年,8.80万公里
